business_id,business_name,city,state,primary_cuisine,latitude,longitude,is_open,yelp_stars,avg_review_stars,total_reviews,reviews_per_month,total_checkins,active_checkin_days,positive_review_ratio,active_years,composite_score,performance_tier,state_performance_tier,tier_label,is_elite_merchant,is_closed
979b061e-4ac6-4950-856e-fbff493b027a,Restaurant 16,Philadelphia,AZ,Mexican,27.572958,-105.036058,True,3.0,3.0,0,0.0,0.0,0,,0,,1,1,Low,False,False
d1b7b24b-4641-450e-b4e8-47092e175290,Restaurant 22,Philadelphia,AZ,Burgers,43.046247,-80.587665,True,2.5,2.5,0,0.0,0.0,0,,0,,1,1,Low,False,False
bfacd035-2b61-4720-b818-81c84d141a1a,Restaurant 33,Philadelphia,AZ,American (New),47.964452,-70.214695,True,1.5,1.5,0,0.0,0.0,0,,0,,1,1,Low,False,False
8419c858-5083-44dd-9d2f-0fbb91600c64,Restaurant 53,Philadelphia,AZ,Burgers,44.543967,-120.994447,True,4.0,4.0,0,0.0,0.0,0,,0,,1,1,Low,False,False
77cec5eb-981c-4dad-833f-7d9890102f9d,Restaurant 55,Philadelphia,AZ,Coffee & Tea,37.820333,-74.539149,True,1.5,1.5,0,0.0,0.0,0,,0,,1,1,Low,False,False
aab54cce-bd91-4d6c-941d-dfffc8108b7d,Restaurant 58,Philadelphia,AZ,Thai,41.411532,-112.102853,True,3.5,3.5,0,0.0,0.0,0,,0,,1,1,Low,False,False
c53ec9c4-3f6d-45d9-bbc2-96629c14acb8,Restaurant 60,Philadelphia,AZ,Seafood,26.432111,-79.190986,True,4.0,4.0,0,0.0,0.0,0,,0,,1,1,Low,False,False
a0b2da34-5c89-44c7-8d79-afa148010c89,Restaurant 61,Philadelphia,AZ,Coffee & Tea,46.683058,-108.576304,True,4.0,4.0,0,0.0,0.0,0,,0,,1,1,Low,False,False
591d6f4c-e48f-4789-9caf-0c027e3804ce,Restaurant 73,Philadelphia,AZ,Coffee & Tea,42.260954,-93.65827,True,4.0,4.0,0,0.0,0.0,0,,0,,1,1,Low,False,False
0a90f802-0fcf-42b9-84bb-4c3dac3add20,Restaurant 76,Philadelphia,AZ,Coffee & Tea,27.140227,-112.812198,False,2.5,2.5,0,0.0,0.0,0,,0,,1,1,Low,False,True
e5f87447-42f7-4a39-9ffd-f9f7857fb524,Restaurant 79,Philadelphia,AZ,Sushi,41.665455,-71.286614,False,5.0,5.0,0,0.0,0.0,0,,0,,1,1,Low,False,True
