business_id,business_name,city,state,primary_cuisine,performance_tier,tier_label,order_month,order_day_of_week,total_orders,delivered_orders,cancelled_orders,fulfillment_rate,on_time_rate,avg_delivery_min,p90_delivery_min,total_gmv_usd,avg_order_value_usd,total_delivery_fees_usd,_is_synthetic_data
979b061e-4ac6-4950-856e-fbff493b027a,Restaurant 16,Philadelphia,AZ,Mexican,1,Low,2022-01-01,Wednesday,1,1.0,0.0,1.0,1.0,32.0,32.0,27.05,27.05,7.23,True
d1b7b24b-4641-450e-b4e8-47092e175290,Restaurant 22,Philadelphia,AZ,Burgers,1,Low,2022-04-01,Wednesday,1,1.0,0.0,1.0,0.0,51.0,51.0,47.15,47.15,5.72,True
bfacd035-2b61-4720-b818-81c84d141a1a,Restaurant 33,Philadelphia,AZ,American (New),1,Low,2022-04-01,Wednesday,1,1.0,0.0,1.0,0.0,67.0,67.0,46.82,46.82,2.23,True
8419c858-5083-44dd-9d2f-0fbb91600c64,Restaurant 53,Philadelphia,AZ,Burgers,1,Low,2024-12-01,Monday,1,1.0,0.0,1.0,0.0,51.0,51.0,21.05,21.05,1.78,True
77cec5eb-981c-4dad-833f-7d9890102f9d,Restaurant 55,Philadelphia,AZ,Coffee & Tea,1,Low,2022-04-01,Saturday,1,1.0,0.0,1.0,1.0,46.0,46.0,49.76,49.76,6.61,True
aab54cce-bd91-4d6c-941d-dfffc8108b7d,Restaurant 58,Philadelphia,AZ,Thai,1,Low,2024-10-01,Sunday,1,1.0,0.0,1.0,1.0,21.0,21.0,29.61,29.61,5.73,True
c53ec9c4-3f6d-45d9-bbc2-96629c14acb8,Restaurant 60,Philadelphia,AZ,Seafood,1,Low,2024-11-01,Sunday,1,0.0,1.0,0.0,,,,33.43,33.43,5.83,True
a0b2da34-5c89-44c7-8d79-afa148010c89,Restaurant 61,Philadelphia,AZ,Coffee & Tea,1,Low,2024-03-01,Tuesday,1,1.0,0.0,1.0,0.0,53.0,53.0,8.0,8.0,2.21,True
591d6f4c-e48f-4789-9caf-0c027e3804ce,Restaurant 73,Philadelphia,AZ,Coffee & Tea,1,Low,2024-10-01,Wednesday,1,1.0,0.0,1.0,1.0,17.0,17.0,38.49,38.49,3.37,True
0a90f802-0fcf-42b9-84bb-4c3dac3add20,Restaurant 76,Philadelphia,AZ,Coffee & Tea,1,Low,2024-09-01,Sunday,1,1.0,0.0,1.0,1.0,10.0,10.0,9.64,9.64,1.84,True
e5f87447-42f7-4a39-9ffd-f9f7857fb524,Restaurant 79,Philadelphia,AZ,Sushi,1,Low,2022-08-01,Saturday,1,0.0,1.0,0.0,,,,13.17,13.17,6.15,True
c0c0ecf5-abda-4d35-9a2e-40eb13306bfe,Restaurant 82,Philadelphia,AZ,Sushi,1,Low,2023-12-01,Thursday,1,1.0,0.0,1.0,1.0,28.0,28.0,49.64,49.64,1.4,True
