review_id,user_id,business_id,stars,useful,funny,cool,review_date,_ingested_at,_batch_date
0d491b28-8127-4be8-b3a0-a8b37b9f5994,5e2c90d4-a615-47a0-8fe8-b368ebf747ab,161be690-7ffa-4141-bc81-80d10145e673,1,8,3,3,2022-08-02,2024-01-01 00:00:00,2024-01-01
a5c5c0a0-ee7a-4551-b4e5-0ae8b2eb25a2,434be745-ffd9-4e1f-9a80-d0524a9be786,114ae6a7-6e2d-42db-95e9-a55e8eadc4d5,1,17,1,9,2019-10-13,2024-01-01 00:00:00,2024-01-01
b72160bc-dbb9-40d2-a282-64e25b9c1ed0,60d1440f-bcc0-44c1-b668-cc167de53d1f,6ecee6f2-1238-4a29-9fd3-442f6ff0e1fe,1,2,3,3,2021-05-14,2024-01-01 00:00:00,2024-01-01
652dbcd9-eda3-454d-a471-64dcca6a3a76,4e86f5cb-773e-4224-bb56-7cf4c1ab55d8,3aaf62a5-fc82-4e62-ba5a-8869c58bf8c2,1,17,3,10,2021-10-31,2024-01-01 00:00:00,2024-01-01
89475b1a-8e67-4601-92ea-b5ec9c120fe2,9018af2f-0cfb-4a8a-aa98-8c9d5b54fff4,f0d033e3-4694-4cfb-9d77-489eed62b354,4,7,7,9,2022-12-07,2024-01-01 00:00:00,2024-01-01
8c5632e5-ed1a-41fc-9ef5-893f92b009e6,cad51562-2091-462d-aced-01c81017244c,a57ccce5-4849-48fc-bdfa-0c5932580ebc,1,5,6,5,2020-07-23,2024-01-01 00:00:00,2024-01-01
95bf9708-14ca-4942-bcdb-2c508260827d,38705471-f9f6-4eb4-8d98-669842cea9df,06bdb1fb-5584-44c3-b60e-ba9d730a9ff5,2,10,1,1,2020-07-23,2024-01-01 00:00:00,2024-01-01
70124b9f-49f0-43ab-ab5d-5ff6e5c88e2b,4aaf483a-3829-454c-98a2-2b4aa5bfb8ba,c5b60773-230d-452a-a448-54789e68efc7,3,11,9,4,2021-02-17,2024-01-01 00:00:00,2024-01-01
f7142172-3e98-437a-a236-6484c3690da0,68c90a55-fe59-4f5d-8421-8188e631b563,d2c8ed53-35b0-4e13-9101-5afbe6be3b86,4,17,1,6,2023-07-11,2024-01-01 00:00:00,2024-01-01
afbae530-83fe-40d5-a259-50f6fd4476d7,22349667-742b-4f7c-bfd1-428344d9cee3,2346b719-adb0-49bc-a14e-4407cf1a3a9f,3,20,9,5,2019-06-11,2024-01-01 00:00:00,2024-01-01
