business_id,checkin_at,_ingested_at,_batch_date
7fe05f0b-325e-4e03-9683-1584ee95d892,2021-01-18 07:52:00,2024-01-01 00:00:00,2024-01-01
f3aab638-34fe-42e7-bb13-82c8fb296808,2021-10-02 12:02:00,2024-01-01 00:00:00,2024-01-01
7bb3ebad-db7d-4fa2-af39-7c8d05d05501,2021-01-03 15:51:00,2024-01-01 00:00:00,2024-01-01
0be28c25-0327-4f80-8046-0eaeb54d8a11,2023-09-24 21:45:00,2024-01-01 00:00:00,2024-01-01
a8ca0ebc-9b7f-4d34-8d04-2fc582139c8f,2023-03-26 18:06:00,2024-01-01 00:00:00,2024-01-01
4c2a4da0-f880-4031-b5e6-f907f463f170,2023-10-03 02:42:00,2024-01-01 00:00:00,2024-01-01
315b8757-9504-4390-b0fc-071c5fca4539,2022-09-03 16:36:00,2024-01-01 00:00:00,2024-01-01
b1739b28-f87d-41ac-b2cc-1214c3e645d9,2022-03-23 17:33:00,2024-01-01 00:00:00,2024-01-01
d4f28bee-2d99-477e-bed0-8afb23cc957e,2021-03-18 17:41:00,2024-01-01 00:00:00,2024-01-01
2922af86-2997-4537-8609-bf9b9c5f81c3,2020-02-16 10:08:00,2024-01-01 00:00:00,2024-01-01
33a8bae8-defe-45ee-bc55-acac9865843c,2021-07-06 06:18:00,2024-01-01 00:00:00,2024-01-01
29b81039-f7fe-44d4-b9ae-e43004eff257,2022-07-06 12:27:00,2024-01-01 00:00:00,2024-01-01
5d12e724-cb1e-4fa2-8a4b-7233cc8fe6ec,2021-02-11 15:01:00,2024-01-01 00:00:00,2024-01-01
24350707-610e-4310-9644-77314fe37d18,2021-10-03 10:35:00,2024-01-01 00:00:00,2024-01-01
906d7997-95c3-4edf-8222-0f6d5f7a8efb,2021-09-18 12:19:00,2024-01-01 00:00:00,2024-01-01
45d7ea24-c950-49db-a864-e2d30c0d5168,2021-10-16 09:49:00,2024-01-01 00:00:00,2024-01-01
6fce7ef5-ee43-4bdb-90de-d63a0361ff25,2022-11-01 01:33:00,2024-01-01 00:00:00,2024-01-01
8c9c9dbe-e89c-4845-932b-7aff6ac30a0a,2023-08-30 06:05:00,2024-01-01 00:00:00,2024-01-01
