business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,_ingested_at,_batch_date
859e8489-c9dc-45c2-9337-5d2d16b39129,Restaurant 0,1924 Main St,Philadelphia,PA,46048,30.632513,-117.325414,1.5,4468,True,"Seafood, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
40cef1ea-5719-460f-8c9e-41332dd5ceb5,Restaurant 1,7012 Main St,Philadelphia,PA,13905,27.154991,-112.203651,1.0,4598,True,"American (New), Restaurants, Food",2024-01-01 00:00:00,2024-01-01
39b4e4fe-e6c7-4096-b1fb-3e64de5e099a,Restaurant 2,6973 Main St,Philadelphia,NY,68878,38.553111,-80.481325,1.0,1308,False,"Chinese, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
588641b5-4966-4546-bbf3-1ce9aa44e4d2,Restaurant 3,4652 Main St,Philadelphia,TX,38221,47.015901,-106.4873,1.5,3113,True,"Chinese, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
6fecdbc0-d8e2-48ee-96d9-14f83ce372ae,Restaurant 4,5735 Main St,Philadelphia,CO,44671,43.56395,-84.864752,5.0,1023,False,"Sushi, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
4b782209-9c16-478c-a37a-049d2e528cd1,Restaurant 5,9144 Main St,Philadelphia,FL,92397,39.225954,-77.60612,2.5,570,True,"Mexican, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
adad5940-e205-4086-9222-7b0104825fd5,Restaurant 6,4841 Main St,Philadelphia,CA,40512,44.929124,-104.093058,4.5,2989,True,"Chinese, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
f37b17d4-a786-4ec5-bf74-fd0405de96f7,Restaurant 7,5920 Main St,Philadelphia,NY,97841,31.14049,-73.483998,1.5,4991,True,"American (New), Restaurants, Food",2024-01-01 00:00:00,2024-01-01
656e2e08-057d-4130-90cd-992bda818642,Restaurant 8,4110 Main St,Philadelphia,TX,70589,33.727475,-70.576216,5.0,1800,False,"Pizza, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
e1695292-3748-495d-a20f-4c2fbf3c6da1,Restaurant 9,3852 Main St,Philadelphia,PA,51347,34.22679,-121.359627,3.5,1742,False,"Burgers, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
af94efd7-4a33-465b-addd-809933ecdb97,Restaurant 10,7617 Main St,Philadelphia,TX,44718,28.211497,-84.025606,5.0,2153,False,"Seafood, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
255db5b6-f856-4ad9-902a-b189c60e7ede,Restaurant 11,6643 Main St,Philadelphia,IL,38746,47.938493,-117.391754,4.5,745,True,"Sushi, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
3d6b9854-e7f3-4494-9d64-f3053c765039,Restaurant 12,2604 Main St,Philadelphia,TX,99192,34.709679,-121.505976,4.0,4882,False,"American (New), Restaurants, Food",2024-01-01 00:00:00,2024-01-01
041225a4-95df-4e78-8d09-49e0bb132be5,Restaurant 13,4219 Main St,Philadelphia,WA,11504,40.646518,-118.699654,5.0,2186,False,"Sushi, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
1af8102d-461b-4f4e-aa80-ce9c087e8dc5,Restaurant 14,4908 Main St,Philadelphia,OH,30730,35.435645,-72.540124,3.0,4101,True,"American (New), Restaurants, Food",2024-01-01 00:00:00,2024-01-01
d46bbae2-8cd7-41d3-8bb0-e0d8b59a42e2,Restaurant 15,1843 Main St,Philadelphia,FL,93748,36.676246,-114.059889,3.5,1324,True,"Seafood, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
979b061e-4ac6-4950-856e-fbff493b027a,Restaurant 16,5410 Main St,Philadelphia,AZ,12552,27.572958,-105.036058,3.0,1962,True,"Mexican, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
378e23e4-3769-4d48-a472-f4b39ab04dee,Restaurant 17,9395 Main St,Philadelphia,CA,21226,41.833875,-80.118721,5.0,1031,True,"Coffee & Tea, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
dc81e380-2ad6-46c2-a1eb-4bb11625dd6a,Restaurant 18,9107 Main St,Philadelphia,TX,44741,37.136497,-91.637335,2.5,4418,True,"Italian, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
8b8f0d21-e43f-4f07-ad76-25d9ced2704a,Restaurant 19,6637 Main St,Philadelphia,IL,67422,45.691124,-100.168262,2.5,1841,True,"Chinese, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
68e0c89e-3f9e-4ca8-8fa6-2404e9cc7940,Restaurant 20,444 Main St,Philadelphia,CO,82603,30.292639,-112.888044,1.5,483,True,"Sushi, Restaurants, Food",2024-01-01 00:00:00,2024-01-01
